id,Title,Permalink,"Portfolio Categories","Portfolio Tags",content_type,int_production_company,director,agency,year,video_id,photographer,record_label,rank_math_title,rank_math_focus_keyword
1367,"Allianz 'Hand'",https://360films.co.za/portfolio/allianz-hand/,"Orange Films",Commercials,commercials,"Globe Productions, Bratislava","Jaromir Maly","Roko, Bratislava",20080201,https://vimeo.com/1111754226,,,"Allianz 'Hand'","previous commercials"
1368,"Zomig Nasal 'Nightmare'",https://360films.co.za/portfolio/zomig-nasal-nightmare/,"Orange Films",Commercials,commercials,"Camp David Film, Stockholm","Christoffer von Reis",TBWAStockholm,20080201,https://vimeo.com/1111754190,,,"Zomig Nasal 'Nightmare'","previous commercials"
1369,"Direct Line 'Landlord'",https://360films.co.za/portfolio/direct-line-landlord/,"Orange Films",Commercials,commercials,"The Pavilion@ Serious Pictures, London","John Pardue","M&C Saatchi, London",20080201,https://vimeo.com/1111754161,,,"Direct Line 'Landlord'","previous commercials"
1370,"Direct Line 'Tradesman'",https://360films.co.za/portfolio/direct-line-tradesman/,"Orange Films",Commercials,commercials,"The Pavilion@ Serious Pictures, London","John Pardue","M&C Saatchi, London",20080201,https://vimeo.com/1111754131,,,"Direct Line 'Tradesman'","previous commercials"
1371,"Direct Line 'Shop'",https://360films.co.za/portfolio/direct-line-shop/,"Orange Films",Commercials,commercials,"The Pavilion@ Serious Pictures, London","John Pardue","M&C Saatchi, London",20080201,https://vimeo.com/1111754095,,,"Direct Line 'Shop'","previous commercials"
1372,"National Blood Supply 'Pile-Up'",https://360films.co.za/portfolio/national-blood-supply-pile-up/,"Orange Films",Commercials,commercials,"Serious Pictures, London","Peter Webber","DLKW, London",20080301,https://vimeo.com/1111754065,,,"National Blood Supply 'Pile-Up'","previous commercials"
1373,"National Blood Supply 'Caesarean'",https://360films.co.za/portfolio/national-blood-supply-caesarean/,"Orange Films",Commercials,commercials,"Serious Pictures, London","Peter Webber","DLKW, London",20080301,https://vimeo.com/1111754027,,,"National Blood Supply 'Caesarean'","previous commercials"
1374,"T-Com 'Magio'",https://360films.co.za/portfolio/t-com-magio/,"Orange Films",Commercials,commercials,"Globe Productions, Bratislava","Vladislav Struhar","Istropolitana D’arcy, Bratislava",20080301,https://vimeo.com/1111753984,,,"T-Com 'Magio'","previous commercials"
1375,"Mercedes 'Ambition'",https://360films.co.za/portfolio/mercedes-ambition/,"Orange Films",Commercials,commercials,"Knucklehead, London","Johnny Green","AMV BBDO, London",20080601,https://vimeo.com/1111753934,,,"Mercedes 'Ambition'","previous commercials"
1376,"Royal Mail 'Grow'",https://360films.co.za/portfolio/royal-mail-grow/,"Orange Films",Commercials,commercials,"Knucklehead, UK","Johnny Green","AMV BBDO, London",20080601,https://vimeo.com/1111753890,,,"Royal Mail 'Grow'","previous commercials"
1377,"Telenor 'Russia'",https://360films.co.za/portfolio/telenor-russia/,"Orange Films",Commercials,commercials,"Camp David Film, Stockholm","Christoffer von Reis","Garbergs Reklambyrå, Stockholm",20080801,https://vimeo.com/1111753863,,,"Telenor 'Russia'","previous commercials"
1378,"Telenor 'Japan'",https://360films.co.za/portfolio/telenor-japan/,"Orange Films",Commercials,commercials,"Camp David Film, Stockholm","Christoffer von Reis","Garbergs Reklambyrå, Stockholm",20080801,https://vimeo.com/1111753827,,,"Telenor 'Japan'","previous commercials"
1379,"Telenor 'No vs Yes'",https://360films.co.za/portfolio/telenor-no-vs-yes/,"Orange Films",Commercials,commercials,"Camp David Film, Stockholm","Christoffer von Reis","Garbergs Reklambyrå, Stockholm",20080801,https://vimeo.com/1111753788,,,"Telenor 'No vs Yes'","previous commercials"
1380,"Telenor 'Nagging'",https://360films.co.za/portfolio/telenor-nagging/,"Orange Films",Commercials,commercials,"Camp David Film, Stockholm","Christoffer von Reis","Garbergs Reklambyrå, Stockholm",20080801,https://vimeo.com/1111753745,,,"Telenor 'Nagging'","previous commercials"
1381,"Telenor 'USA'",https://360films.co.za/portfolio/telenor-usa/,"Orange Films",Commercials,commercials,"Camp David Film, Stockholm","Christoffer von Reis","Garbergs Reklambyrå, Stockholm",20080801,https://vimeo.com/1111753695,,,"Telenor 'USA'","previous commercials"
1382,"XXL 'War of Sports'",https://360films.co.za/portfolio/xxl-war-of-sports/,"Orange Films",Commercials,commercials,"Monster Commercials, Oslo","Mathis Fürst & Henrik Sander","Schjaerven, Oslo",20081001,https://vimeo.com/1111753624,,,"XXL 'War of Sports'","previous commercials"
1383,"Libero 'Tiger'",https://360films.co.za/portfolio/libero-tiger/,"Orange Films",Commercials,commercials,"Anders Skog Films, Stockholm","Anders Skog","Forsman & Bodenfors, Gothenburg",20081101,https://vimeo.com/1111753573,,,"Libero 'Tiger'","previous commercials"
1384,"Ocean Spray 'Raspberry'",https://360films.co.za/portfolio/ocean-spray-raspberry/,"Orange Films",Commercials,commercials,"Crossroads, London","Dan Nathan","The East Agency, London",20081101,https://vimeo.com/1111753537,,,"Ocean Spray 'Raspberry'","previous commercials"
1385,"Ocean Spray 'Vibrations'",https://360films.co.za/portfolio/ocean-spray-vibrations/,"Orange Films",Commercials,commercials,"Crossroads, London","Dan Nathan","The East Agency, London",20081101,https://vimeo.com/1111753513,,,"Ocean Spray 'Vibrations'","previous commercials"
1386,"Ocean Spray 'Honey'",https://360films.co.za/portfolio/ocean-spray-honey/,"Orange Films",Commercials,commercials,"Crossroads, London","Dan Nathan","The East Agency, London",20081101,https://vimeo.com/1111753479,,,"Ocean Spray 'Honey'","previous commercials"
1387,"Canal Digital 'Fun with Jim and Thea Lang'",https://360films.co.za/portfolio/canal-digital-fun-with-jim-and-thea-lang/,"Orange Films",Commercials,commercials,"Camp David, Sweden","Johan Skog",,20081201,https://vimeo.com/1111753447,,,"Canal Digital 'Fun with Jim and Thea Lang'","previous commercials"
1388,"Hyperpoll 'Laat Hooikoorts Uw Lente'",https://360films.co.za/portfolio/hyperpoll-laat-hooikoorts-uw-lente/,"Orange Films",Commercials,commercials,"Lovo Films, Brussels","Uwo Mostertman","Seven 20, Brussels",20090101,https://vimeo.com/1111753407,,,"Hyperpoll 'Laat Hooikoorts Uw Lente'","previous commercials"
1389,"Telenor 'New Zealand'",https://360films.co.za/portfolio/telenor-new-zealand/,"Orange Films",Commercials,commercials,"Camp David Film, Stockholm","Christoffer von Reis","Garbergs Reklambyrå, Stockholm",20090101,https://vimeo.com/1111753374,,,"Telenor 'New Zealand'","previous commercials"
1390,"Telenor 'Saudi Arabia'",https://360films.co.za/portfolio/telenor-saudi-arabia/,"Orange Films",Commercials,commercials,"Camp David Film, Stockholm","Christoffer von Reis","Garbergs Reklambyrå, Stockholm",20090101,https://vimeo.com/1111753343,,,"Telenor 'Saudi Arabia'","previous commercials"
1391,"Telenor 'Mexico'",https://360films.co.za/portfolio/telenor-mexico/,"Orange Films",Commercials,commercials,"Camp David Film, Stockholm","Christoffer von Reis","Garbergs Reklambyrå, Stockholm",20090101,https://vimeo.com/1111753307,,,"Telenor 'Mexico'","previous commercials"
1392,"Telenor 'Italy'",https://360films.co.za/portfolio/telenor-italy/,"Orange Films",Commercials,commercials,"Camp David Film, Stockholm","Christoffer von Reis","Garbergs Reklambyrå, Stockholm",20090101,https://vimeo.com/1111753269,,,"Telenor 'Italy'","previous commercials"
